pc=0x80000000 reg=30 value=0x00100000
pc=0x80000004 reg=12 value=0x00000123
pc=0x80000008 reg=13 value=0x00000123
pc=0x8000000c reg=14 value=0x00000456
pc=0x80000010 reg=15 value=0x00000001
pc=0x80000014 reg=16 value=0x00000789
pc=0x80000018 reg=17 value=0x0000a000
pc=0x8000001c reg=17 value=0x0000abcd
pc=0x80000020 reg=18 value=0x0000007f
pc=0x80000024 reg=19 value=0x00000080
pc=0x80000034 reg=23 value=0x00000001
pc=0x80000044 reg=24 value=0x00000002
pc=0x80000054 reg=25 value=0x00000003
pc=0x8000005c reg=26 value=0x00000000
pc=0x8000006c reg=4 value=0x0000abcd
pc=0x8000007c reg=27 value=0x00000004
pc=0x80000084 reg=5 value=0x0000007f
pc=0x80000088 reg=5 value=0x00000000
pc=0x80000098 reg=28 value=0x00000005
pc=0x800000a0 reg=6 value=0xffffff80
pc=0x800000a4 reg=6 value=0x00000000
pc=0x800000b4 reg=29 value=0x00000006
